"SC-SM"|Yes|"31979367"|"60810886"
"SM"|No |"31979367"|"60810887"
"SC-SM"|Yes|"31979368"|"60810888"
"SM"|No |"31979368"|"60810889"
"SM"|Yes|"31979369"|"60810890"
"SC-SM"|Yes|"31979371"|"60810891"
"SM"|No |"31979371"|"60810892"
"GC"|Yes|"31980268"|"60812454"
"CL"|No |"31980267"|"60812452"
"CH"|Yes|"31980267"|"60812453"
"ML"|No |"31980266"|"60812448"
"SC"|No |"31980266"|"60812449"
"SM"|No |"31980266"|"60812450"
"SC"|Yes|"31980266"|"60812451"
"SM"|No |"31980265"|"60812446"
"SC-SM"|Yes|"31980265"|"60812447"
"GM"|No |"31980264"|"60812444"
"SM"|Yes|"31980264"|"60812445"
"GM"|No |"31980263"|"60812442"
"GC"|Yes|"31980263"|"60812443"
"SM"|No |"31980262"|"60812438"
"ML"|No |"31980262"|"60812439"
"SC"|No |"31980262"|"60812440"
"GC"|Yes|"31980262"|"60812441"
"SM"|No |"31980261"|"60812436"
"SC-SM"|Yes|"31980261"|"60812437"
"GC"|Yes|"31980260"|"60812435"
"GC"|Yes|"31980259"|"60812434"
"GC"|Yes|"31980258"|"60812433"
"GM"|No |"31980257"|"60812430"
"GW-GM"|No |"31980257"|"60812431"
"GC-GM"|Yes|"31980257"|"60812432"
"CH"|Yes|"31980236"|"60812414"
"CH"|Yes|"31980235"|"60812413"
"CH"|Yes|"31980234"|"60812412"
"SC"|Yes|"31980233"|"60812411"
"SC"|Yes|"31980232"|"60812410"
"CL"|Yes|"31980231"|"60812409"
"GC"|Yes|"31980230"|"60812408"
"CL"|Yes|"31980229"|"60812407"
"SC-SM"|Yes|"31980228"|"60812406"
"SC"|Yes|"31980227"|"60812405"
"SC"|Yes|"31980226"|"60812404"
"SC-SM"|Yes|"31980225"|"60812403"
"SC"|Yes|"31980224"|"60812402"
"GP"|Yes|"31980256"|"60812429"
"GP-GM"|Yes|"31980255"|"60812428"
"SP-SM"|Yes|"31980254"|"60812427"
"SC"|Yes|"31979723"|"60811580"
"SM"|No |"31979723"|"60811581"
"SM"|No |"31979722"|"60811578"
"SC-SM"|Yes|"31979722"|"60811579"
"SC-SM"|Yes|"31979721"|"60811576"
"SM"|No |"31979721"|"60811577"
"SC-SM"|Yes|"31979720"|"60811574"
"SM"|No |"31979720"|"60811575"
"GC"|Yes|"31979719"|"60811570"
"GM"|No |"31979719"|"60811571"
"SC"|No |"31979719"|"60811572"
"SM"|No |"31979719"|"60811573"
