"not used"|"11254332"|"7712842"
"not used"|"11254156"|"7712745"
"not used"|"11254324"|"7712764"
"not used"|"11254325"|"7712763"
"not used"|"11254326"|"7712843"
"not used"|"11254162"|"7712821"
"not used"|"11254163"|"7712747"
"not used"|"11254165"|"7712705"
"not used"|"11254166"|"7712706"
"shallow"|"11254169"|"7712748"
"not used"|"11254180"|"7712751"
"not used"|"11254181"|"7712709"
"not used"|"11254192"|"7712790"
"not used"|"11254193"|"7712789"
"not used"|"11254194"|"7712754"
"not used"|"11254195"|"7712828"
"shallow"|"11254095"|"7712732"
"not used"|"11254333"|"7712681"
"not used"|"11254334"|"7712682"
"not used"|"11254335"|"7712683"
