1  2,4,5-TP             2600.0  .40     5.0    20.0 0.75      2.500               Silvex                  
2  2 Plus 2               20.0  .95    10.0    21.0 0.75 660000.000               Mecoprop Amine          
3  Aatrex                100.0  .45     5.0    60.0 0.75     33.000               Atrazine                
4  Abate              100000.0  .65     5.0    30.0 0.75      0.001               Temephos                
5  Acaraben             2000.0  .05    10.0    20.0 0.75     13.000               Chlorobenzilate         
6  Accelerate             20.0  .90     7.0     7.0 0.75 100000.000               Endothall Salt          
7  Acclaim              9490.0  .20     5.0     9.0 0.75      0.800               Fenoxaprop-Ethyl        
8  Alanap                 20.0  .95     7.0    14.0 0.75 231000.000               Naptalam Sodium Salt    
9  Alar                   10.0  .95     4.0     7.0 0.75 100000.000               Daminozide              
10 Aldrin                300.0  .05     2.0    28.0 0.75      0.100               Aldrin                  
11 Aliette                20.0  .95     0.1     0.1 0.75 120000.000               Fosetyl-Aluminum        
12 Ally                   35.0  .80    30.0   120.0 0.75   9500.000               Metsulfuron-Methyl      
13 Amiben                 15.0  .95     7.0    14.0 0.75 900000.000               Chloramben Salts        
14 Amid-Thin W           100.0  .60     5.0    10.0 0.75    100.000               NAA Amide               
15 Amitrol T             100.0  .95     5.0    14.0 0.75 360000.000               Amitrole                
16 Ammo               100000.0  .40     5.0    30.0 0.75      0.004               Cypermethrin            
17 Antor                1400.0  .40    10.0    21.0 0.75    105.000               Diethatyl-Ethyl         
18 A-Rest                120.0  .50    30.0   120.0 0.75    650.000               Ancymidol               
19 Arsenal               100.0  .90    30.0    90.0 0.75  11000.000               Imazapyr Acid           
20 Arsonate            10000.0  .95    30.0   100.0 0.751000000.000               MSMA                    
21 Asana                5300.0  .40     8.0    35.0 0.75      0.002               Esfenvalerate           
22 Assert (m)             66.0  .65    18.0    35.0 0.75   1370.000               Imazamethabenz-m        
23 Assert (p)             35.0  .65    18.0    35.0 0.75    875.000               Imazamethabenz-p        
24 Assure                510.0  .20    15.0    60.0 0.75      0.310               Quizalofop-Ethyl        
25 Asulox                 40.0  .95     3.0     7.0 0.75 550000.000               Asulam Sodium Salt      
26 Avenge              54500.0  .95    30.0   100.0 0.75 817000.000               Difenzoquat             
27 Azodrin                 1.0  .95     2.0    30.0 0.751000000.000               Monocrotophos           
28 Balan                9000.0  .20    10.0    30.0 0.75      0.100               Benefin                 
29 Banol             1000000.0  .95    15.0    30.0 0.751000000.000               Propamocarb             
30 Banvel                  2.0  .65     9.0    14.0 0.75 400000.000               Dicamba                 
31 Basagran               34.0  .60     2.0    20.0 0.752300000.000               Bentazon                
32 Basta                 100.0  .95     4.0     7.0 0.751370000.000               Glufosinate Ammonia     
33 Bayleton              300.0  .30     8.0    26.0 0.75     71.500               Triadimefon             
34 Baytex               1500.0  .65     2.0    34.0 0.75      4.200               Fenthion                
35 Baythroid          100000.0  .40     5.0    30.0 0.75      0.002               Cyfluthrin              
36 Benlate              1900.0  .25     6.0   240.0 0.75      2.000               Benomyl                 
37 Benzex              55000.0  .05     3.0   600.0 0.75      0.100               BHC                     
38 Betamix              2400.0  .70     5.0    30.0 0.75      4.700               Phenmedipham            
39 Betanex              1500.0  .70     5.0    30.0 0.75      8.000               Desmedipham             
40 Bidrin                 75.0  .70    20.0    28.0 0.751000000.000               Dicrotophos             
41 Bladex                190.0  .60     5.0    14.0 0.75    170.000               Cyanazine               
42 Bolero                900.0  .70     7.0    21.0 0.75     28.000               Thiobencarb             
43 Bolstar             12000.0  .55     0.5   140.0 0.75      0.310               Sulprofos               
44 Bordermaster         1000.0  .50     8.0    25.0 0.75      5.000               MCPA Ester              
45 Botran               1000.0  .50     4.0    10.0 0.75      7.000               DCNA (Dicloran)         
46 Bravo                1380.0  .50     5.0    30.0 0.75      0.600               Chlorothalonil          
47 Buctril             10000.0  .20     3.0     7.0 0.75      0.080               Bromoxynil Octan. Ester 
48 Butyrac Ester         500.0  .45     7.0     7.0 0.75      8.000               2,4-DB Ester            
49 Caparol               400.0  .50    10.0    60.0 0.75     33.000               Prometryn               
50 Carbamate             300.0  .90     3.0    17.0 0.75    120.000               Ferbam                  
51 Carsoron              400.0  .45     5.0    60.0 0.75     21.200               Dichlobenil             
52 Carzol            1000000.0  .95    30.0   100.0 0.75 500000.000               Formetanate Hydrochlor  
53 Cerone             100000.0  .95     5.0    10.0 0.751239000.000               Ethephon                
54 Chem-Hoe              200.0  .50     2.0    10.0 0.75    250.000               Propham (IPC)           
55 Chlordane          100000.0  .05     2.5   100.0 0.75      0.100               Chlordane               
56 Chopper               100.0  .80    30.0    90.0 0.75 500000.000               Imazapyr Amine          
57 Classic               110.0  .90    15.0    40.0 0.75   1200.000               Chlorimuron-ethyl       
58 Cobra              100000.0  .20     2.0     3.0 0.75      0.100               Lactofen                
59 Comite               4000.0  .20     5.0    56.0 0.75      0.500               Propargite              
60 Command               300.0  .80     3.0    24.0 0.75   1000.000               Clomazone               
61 Cotoran               100.0  .50    30.0    85.0 0.75    110.000               Fluometuron             
62 Counter               500.0  .60     2.5     5.0 0.75      5.000               Terbufos                
63 Crossbow               20.0  .95    15.0    46.0 0.752100000.000               Triclopyr Amine         
64 Curacron             2000.0  .90     3.0     8.0 0.75     28.000               Profenofos              
65 Cygon                  20.0  .95     3.0     7.0 0.75  39800.000               Dimethoate              
66 Cyprex             100000.0  .50    10.0    20.0 0.75    700.000               Dodine Acetate          
67 Cythion              1800.0  .90     1.0     1.0 0.75    130.000               Malathion               
68 Dacamine               20.0  .45     5.0    10.0 0.75    890.000               2,4-D Acid              
69 Dacthal              5000.0  .30    10.0   100.0 0.75      0.500               DCPA                    
70 Dalapon                 1.0  .95    37.0    30.0 0.75 900000.000               Dalapon Sodium Salt     
71 Dasanit             10000.0  .90     4.0    24.0 0.75      0.010               Fensulfothion           
72 DDT                240000.0  .05    10.0   120.0 0.75      0.100               DDT                     
73 Dedweed                20.0  .95     7.0    25.0 0.75 866000.000               MCPA Amine              
74 DEF                  5000.0  .25     7.0    30.0 0.75      2.300               Tribufos                
75 Dessicant L-10     100000.0  .95 10000.0 10000.0 0.75  17000.000               Arsenic Acid            
76 Devrinol              400.0  .60    15.0    70.0 0.75     74.000               Napropamide             
77 Di-Syston             600.0  .50     3.0    30.0 0.75     25.000               Disulfoton              
78 Dibrom                180.0  .90     5.0     1.0 0.75   2000.000               Naled                   
79 Dieldrin            50000.0  .05     5.0  1400.0 0.75      0.100               Dieldrin                
80 Dimilin             10000.0  .05    27.0    10.0 0.75      0.080               Diflubenzuron           
