Time,Rain(mm),Out(mm),Out(cms)
       0.0,       10.0800,        0.0000,        0.0000
       1.0,       10.0800,        3.6453,        7.7409
       2.0,       10.0800,        7.9694,       16.9234
       3.0,       10.0800,        9.8157,       20.8441
       4.0,       10.0800,       10.0870,       21.4201
       5.0,       10.8000,       10.0648,       21.3731
       6.0,       10.8000,       10.4397,       22.1691
       7.0,       10.8000,       10.6911,       22.7030
       8.0,       10.8000,       10.7713,       22.8734
       9.0,       10.8000,       10.7791,       22.8898
      10.0,       11.6400,       10.7774,       22.8863
      11.0,       11.6400,       11.2288,       23.8448
      12.0,       11.6400,       11.5198,       24.4629
      13.0,       11.6400,       11.6099,       24.6542
      14.0,       11.6400,       11.6177,       24.6707
      15.0,       12.8400,       11.6158,       24.6667
      16.0,       12.8400,       12.2706,       26.0572
      17.0,       12.8400,       12.6853,       26.9378
      18.0,       12.8400,       12.8083,       27.1990
      19.0,       12.8400,       12.8174,       27.2183
      20.0,       14.1600,       12.8151,       27.2134
      21.0,       14.1600,       13.5487,       28.7712
      22.0,       14.1600,       14.0028,       29.7356
      23.0,       14.1600,       14.1315,       30.0089
      24.0,       14.1600,       14.1392,       30.0252
      25.0,       15.9600,       14.1364,       30.0192
      26.0,       15.9600,       15.1545,       32.1813
      27.0,       15.9600,       15.7686,       33.4854
      28.0,       15.9600,       15.9323,       33.8330
      29.0,       15.9600,       15.9385,       33.8461
      30.0,       18.2400,       15.9345,       33.8375
      31.0,       18.2400,       17.2516,       36.6346
      32.0,       18.2400,       18.0220,       38.2706
      33.0,       18.2400,       18.2133,       38.6769
      34.0,       18.2400,       18.2164,       38.6834
      35.0,       21.6000,       18.2114,       38.6728
      36.0,       21.6000,       20.2007,       42.8970
      37.0,       21.6000,       21.3224,       45.2790
      38.0,       21.6000,       21.5764,       45.8185
      39.0,       21.6000,       21.5737,       45.8128
      40.0,       26.7600,       21.5672,       45.7990
      41.0,       26.7600,       24.7165,       52.4866
      42.0,       26.7600,       26.4095,       56.0817
      43.0,       26.7600,       26.7475,       56.7994
      44.0,       26.7600,       26.7326,       56.7678
      45.0,       36.0000,       26.7256,       56.7531
      46.0,       36.0000,       32.5888,       69.2039
      47.0,       36.0000,       35.5390,       75.4688
      48.0,       36.0000,       36.0213,       76.4928
      49.0,       36.0000,       35.9738,       76.3920
      50.0,       57.9600,       35.9660,       76.3755
      51.0,       57.9600,       50.6966,      107.6564
      52.0,       57.9600,       57.3568,      121.7998
      53.0,       57.9601,       58.0775,      123.3302
      54.0,       57.9600,       57.9239,      123.0040
      55.0,      204.3600,       57.9243,      123.0048
      56.0,      204.3600,      168.6675,      358.1730
      57.0,      204.3601,      205.6742,      436.7584
      58.0,      204.3600,      204.9094,      435.1343
      59.0,      204.3600,      204.1675,      433.5588
      60.0,      204.4800,      204.3488,      433.9438
      61.0,      204.4800,      204.4361,      434.1291
      62.0,      204.4802,      204.4556,      434.1706
      63.0,      204.4800,      204.4577,      434.1752
      64.0,      204.4800,      204.4569,      434.1734
      65.0,       57.9601,      204.4571,      434.1739
      66.0,       57.9599,       92.0363,      195.4431
      67.0,       57.9601,       58.6148,      124.4712
      68.0,       57.9599,       56.9895,      121.0197
      69.0,       57.9601,       58.0081,      123.1828
      70.0,       35.9999,       57.9770,      123.1167
      71.0,       35.9999,       43.0387,       91.3946
      72.0,       36.0002,       36.7208,       77.9783
      73.0,       35.9999,       35.8488,       76.1266
      74.0,       35.9999,       35.9752,       76.3950
      75.0,       26.7600,       35.9917,       76.4299
      76.0,       26.7600,       30.0680,       63.8508
      77.0,       26.7602,       27.2189,       57.8005
      78.0,       26.7600,       26.7006,       56.6999
      79.0,       26.7600,       26.7344,       56.7716
      80.0,       21.5998,       26.7469,       56.7983
      81.0,       21.6003,       23.5701,       50.0522
      82.0,       21.5998,       21.9205,       46.5493
      83.0,       21.6003,       21.5690,       45.8027
      84.0,       21.5998,       21.5765,       45.8186
      85.0,       18.2399,       21.5854,       45.8375
      86.0,       18.2399,       19.5807,       41.5805
      87.0,       18.2404,       18.4815,       39.2462
      88.0,       18.2399,       18.2210,       38.6930
      89.0,       18.2399,       18.2182,       38.6872
      90.0,       15.9600,       18.2248,       38.7013
      91.0,       15.9600,       16.8990,       35.8857
      92.0,       15.9596,       16.1411,       34.2762
      93.0,       15.9600,       15.9461,       33.8623
      94.0,       15.9600,       15.9397,       33.8487
      95.0,       14.1598,       15.9446,       33.8592
      96.0,       14.1603,       14.9203,       31.6839
      97.0,       14.1598,       14.3155,       30.3997
      98.0,       14.1603,       14.1497,       30.0475
      99.0,       14.1598,       14.1411,       30.0292
     100.0,       12.7199,       14.1448,       30.0371
     101.0,       12.7204,       13.3415,       28.3312
     102.0,       12.7199,       12.8534,       27.2948
     103.0,       12.7204,       12.7120,       26.9945
     104.0,       12.7199,       12.7022,       26.9737
     105.0,       11.7597,       12.7052,       26.9800
     106.0,       11.7601,       12.1785,       25.8616
     107.0,       11.7597,       11.8505,       25.1651
     108.0,       11.7601,       11.7513,       24.9545
     109.0,       11.7597,       11.7431,       24.9370
     110.0,       10.7999,       11.7450,       24.9411
     111.0,       10.7999,       11.2261,       23.8390
     112.0,       10.8004,       10.8967,       23.1396
     113.0,       10.7999,       10.7936,       22.9207
     114.0,       10.7999,       10.7835,       22.8993
     115.0,       10.0802,       10.7854,       22.9033
     116.0,       10.0802,       10.4019,       22.0888
     117.0,       10.0797,       10.1537,       21.5618
