Time,Rain(in),Out(in),Out(cfs)
       0.0,       0.39685,       0.00000,       0.00000
       1.0,       0.39685,       0.32458,       95.03955
       2.0,       0.39685,       0.40294,       117.9849
       3.0,       0.39685,       0.39666,       116.14465
       4.0,       0.39685,       0.39594,       115.93524
       5.0,       0.4252,       0.39629,       116.03624
       6.0,       0.4252,       0.42203,       123.57415
       7.0,       0.4252,       0.42506,       124.46161
       8.0,       0.4252,       0.42452,       124.30446
       9.0,       0.4252,       0.42452,       124.30199
      10.0,       0.45827,       0.42454,       124.30799
      11.0,       0.45827,       0.4548,       133.16844
      12.0,       0.45827,       0.45818,       134.15796
      13.0,       0.45827,       0.45754,       133.97044
      14.0,       0.45827,       0.45754,       133.97185
      15.0,       0.50551,       0.45757,       133.97997
      16.0,       0.50551,       0.50107,       146.71903
      17.0,       0.50551,       0.50565,       148.05887
      18.0,       0.50551,       0.50472,       147.7866
      19.0,       0.50551,       0.50475,       147.79437
      20.0,       0.55748,       0.50479,       147.80673
      21.0,       0.55748,       0.55299,       161.92094
      22.0,       0.55748,       0.55772,       163.30633
      23.0,       0.55748,       0.5567,       163.00793
      24.0,       0.55748,       0.55676,       163.02488
      25.0,       0.62835,       0.5568,       163.03653
      26.0,       0.62835,       0.62302,       182.42428
      27.0,       0.62835,       0.62894,       184.15894
      28.0,       0.62835,       0.6275,       183.73587
      29.0,       0.62835,       0.62758,       183.76024
      30.0,       0.71811,       0.62762,       183.7726
      31.0,       0.71811,       0.7122,       208.53878
      32.0,       0.71811,       0.71898,       210.52381
      33.0,       0.71811,       0.71712,       209.97962
      34.0,       0.71811,       0.71726,       210.02058
      35.0,       0.85039,       0.71731,       210.03329
      36.0,       0.85039,       0.8432,       246.89545
      37.0,       0.85039,       0.85191,       249.44694
      38.0,       0.85039,       0.84916,       248.6407
      39.0,       0.85039,       0.84943,       248.71946
      40.0,       1.05354,       0.84948,       248.73499
      41.0,       1.05354,       1.04519,       306.04117
      42.0,       1.05354,       1.05612,       309.24138
      43.0,       1.05354,       1.05195,       308.01985
      44.0,       1.05354,       1.0525,       308.18124
      45.0,       1.41732,       1.05259,       308.20666
      46.0,       1.41733,       1.40858,       412.44533
      47.0,       1.41732,       1.42233,       416.47085
      48.0,       1.41732,       1.41516,       414.36998
      49.0,       1.41732,       1.41637,       414.72383
      50.0,       2.28189,       1.41644,       414.74573
      51.0,       2.28189,       2.28158,       668.06562
      52.0,       2.28189,       2.29305,       671.42511
      53.0,       2.28189,       2.27776,       666.94756
      54.0,       2.28189,       2.28115,       667.9392
      55.0,       8.04567,       2.28103,       667.90565
