Time,Rain(in),Out(in),Out(cfs)
       0.0,       0.39685,       0.00000,       0.00000
       1.0,       0.39685,       0.07982,       901.54821
       2.0,       0.39685,       0.21766,       2458.5367
       3.0,       0.39685,       0.33001,       3727.49873
       4.0,       0.39685,       0.38138,       4307.75408
       5.0,       0.4252,       0.39465,       4457.66485
       6.0,       0.4252,       0.40657,       4592.28437
       7.0,       0.4252,       0.41592,       4697.91055
       8.0,       0.4252,       0.42147,       4760.59409
       9.0,       0.4252,       0.42361,       4784.74932
      10.0,       0.45827,       0.42408,       4790.08184
      11.0,       0.45827,       0.43658,       4931.34052
      12.0,       0.45827,       0.44776,       5057.48452
      13.0,       0.45827,       0.45423,       5130.69183
      14.0,       0.45827,       0.45658,       5157.17783
      15.0,       0.50551,       0.45708,       5162.8635
      16.0,       0.50551,       0.47525,       5368.11236
      17.0,       0.50551,       0.49137,       5550.08885
      18.0,       0.50551,       0.50045,       5652.67797
      19.0,       0.50551,       0.50366,       5688.98145
      20.0,       0.55748,       0.50428,       5696.00907
      21.0,       0.55748,       0.52472,       5926.82575
      22.0,       0.55748,       0.54257,       6128.4372
      23.0,       0.55748,       0.55233,       6238.76023
      24.0,       0.55748,       0.55566,       6276.29973
      25.0,       0.62835,       0.55625,       6283.00951
      26.0,       0.62835,       0.58474,       6604.86742
      27.0,       0.62835,       0.60925,       6881.6638
      28.0,       0.62835,       0.62225,       7028.43157
      29.0,       0.62835,       0.62641,       7075.50602
      30.0,       0.71811,       0.62707,       7082.9221
      31.0,       0.71811,       0.66413,       7501.50689
      32.0,       0.71811,       0.69538,       7854.51233
      33.0,       0.71811,       0.71137,       8035.07624
      34.0,       0.71811,       0.71611,       8088.6839
      35.0,       0.85039,       0.71675,       8095.8881
      36.0,       0.85039,       0.77308,       8732.15251
      37.0,       0.85039,       0.81953,       9256.75193
      38.0,       0.85039,       0.84209,       9511.58259
      39.0,       0.85039,       0.84825,       9581.22312
      40.0,       1.05354,       0.8489,       9588.49794
      41.0,       1.05354,       0.93883,       10604.28911
      42.0,       1.05354,       1.01075,       11416.66778
      43.0,       1.05354,       1.04346,       11786.16517
