Time,Rain(mm),Out(mm),Out(cms)
       0.0,       10.0800,        0.0000,         0.000
       1.0,       10.0800,        2.0274,        25.529
       2.0,       10.0800,        5.5286,        69.618
       3.0,       10.0800,        8.3822,       105.551
       4.0,       10.0800,        9.6870,       121.982
       5.0,       10.8000,       10.0241,       126.227
       6.0,       10.8000,       10.3269,       130.039
       7.0,       10.8000,       10.5643,       133.030
       8.0,       10.8000,       10.7053,       134.805
       9.0,       10.8000,       10.7597,       135.489
      10.0,       11.6400,       10.7716,       135.640
      11.0,       11.6400,       11.0892,       139.640
      12.0,       11.6400,       11.3730,       143.212
      13.0,       11.6400,       11.5375,       145.285
      14.0,       11.6400,       11.5971,       146.035
      15.0,       12.8400,       11.6099,       146.196
      16.0,       12.8400,       12.0714,       152.008
      17.0,       12.8400,       12.4807,       157.161
      18.0,       12.8400,       12.7114,       160.066
      19.0,       12.8400,       12.7930,       161.094
      20.0,       14.1600,       12.8088,       161.293
      21.0,       14.1600,       13.3278,       167.829
      22.0,       14.1600,       13.7812,       173.538
      23.0,       14.1600,       14.0293,       176.662
      24.0,       14.1600,       14.1137,       177.725
      25.0,       15.9600,       14.1288,       177.915
      26.0,       15.9600,       14.8525,       187.029
      27.0,       15.9600,       15.4750,       194.867
      28.0,       15.9600,       15.8051,       199.023
      29.0,       15.9600,       15.9109,       200.356
      30.0,       18.2400,       15.9276,       200.566
      31.0,       18.2400,       16.8689,       212.419
      32.0,       18.2400,       17.6627,       222.415
      33.0,       18.2400,       18.0688,       227.528
      34.0,       18.2400,       18.1893,       229.046
      35.0,       21.6000,       18.2055,       229.250
      36.0,       21.6000,       19.6363,       247.267
      37.0,       21.6000,       20.8160,       262.122
      38.0,       21.6000,       21.3890,       269.338
      39.0,       21.6000,       21.5456,       271.310
      40.0,       26.7600,       21.5620,       271.516
      41.0,       26.7600,       23.8462,       300.280
      42.0,       26.7600,       25.6730,       323.284
      43.0,       26.7599,       26.5039,       333.747
      44.0,       26.7600,       26.7043,       336.270
      45.0,       36.0000,       26.7177,       336.439
      46.0,       36.0000,       31.0204,       390.620
      47.0,       36.0000,       34.3190,       432.158
      48.0,       36.0000,       35.6811,       449.309
      49.0,       36.0000,       35.9499,       452.694
      50.0,       57.9600,       35.9527,       452.729
      51.0,       57.9600,       46.9543,       591.266
      52.0,       57.9600,       54.8408,       690.574
      53.0,       57.9601,       57.5846,       725.126
      54.0,       57.9600,       57.9392,       729.591
      55.0,      204.3600,       57.9042,       729.150
      56.0,      204.3600,      143.9870,      1813.135
      57.0,      204.3601,      195.2636,      2458.828
      58.0,      204.3600,      204.9593,      2580.920
      59.0,      204.3600,      204.4307,      2574.264
      60.0,      204.4800,      204.2453,      2571.929
      61.0,      204.4800,      204.3826,      2573.658
      62.0,      204.4802,      204.4211,      2574.143
      63.0,      204.4800,      204.4332,      2574.295
      64.0,      204.4800,      204.4366,      2574.339
      65.0,       57.9601,      204.4375,      2574.350
      66.0,       57.9599,      114.1785,      1437.777
      67.0,       57.9601,       69.9624,       880.991
      68.0,       57.9599,       58.5457,       737.229
      69.0,       57.9601,       57.6443,       725.877
      70.0,       35.9999,       57.9350,       729.538
      71.0,       35.9999,       46.6224,       587.086
      72.0,       36.0002,       39.1884,       493.475
      73.0,       35.9999,       36.4537,       459.038
      74.0,       35.9999,       35.9607,       452.830
      75.0,       26.7599,       35.9664,       452.902
      76.0,       26.7599,       31.5769,       397.627
      77.0,       26.7602,       28.3984,       357.603
      78.0,       26.7599,       27.0560,       340.698
      79.0,       26.7599,       26.7472,       336.810
      80.0,       21.5998,       26.7293,       336.585
      81.0,       21.6003,       24.4080,       307.354
      82.0,       21.5998,       22.6288,       284.949
      83.0,       21.6003,       21.8106,       274.646
      84.0,       21.5998,       21.5939,       271.918
      85.0,       18.2399,       21.5720,       271.642
      86.0,       18.2399,       20.1215,       253.378
      87.0,       18.2404,       18.9657,       238.822
      88.0,       18.2399,       18.4012,       231.715
      89.0,       18.2399,       18.2361,       229.635
      90.0,       15.9600,       18.2143,       229.361
      91.0,       15.9600,       17.2623,       217.372
      92.0,       15.9596,       16.4810,       207.534
      93.0,       15.9600,       16.0813,       202.502
      94.0,       15.9600,       15.9555,       200.918
      95.0,       14.1598,       15.9360,       200.672
      96.0,       14.1603,       15.2045,       191.461
      97.0,       14.1598,       14.5912,       183.738
      98.0,       14.1603,       14.2657,       179.639
      99.0,       14.1598,       14.1569,       178.269
     100.0,       12.7199,       14.1377,       178.027
     101.0,       12.7204,       13.5667,       170.837
     102.0,       12.7199,       13.0791,       164.696
     103.0,       12.7204,       12.8117,       161.329
     104.0,       12.7199,       12.7177,       160.146
     105.0,       11.7597,       12.6994,       159.916
     106.0,       11.7601,       12.3265,       155.219
     107.0,       11.7597,       12.0028,       151.144
     108.0,       11.7601,       11.8205,       148.848
     109.0,       11.7597,       11.7541,       148.011
     110.0,       10.7999,       11.7402,       147.837
     111.0,       10.7999,       11.3740,       143.225
     112.0,       10.8004,       11.0522,       139.173
     113.0,       10.7999,       10.8672,       136.844
     114.0,       10.7999,       10.7972,       135.962
     115.0,       10.0802,       10.7816,       135.766
     116.0,       10.0802,       10.5115,       132.364
     117.0,       10.0797,       10.2716,       129.344
     118.0,       10.0802,       10.1303,       127.565
     119.0,       10.0802,       10.0753,       126.872
     120.0,        0.0000,       10.0625,       126.711
     121.0,        0.0000,        6.6024,        83.140
     122.0,        0.0000,        3.7515,        47.240
     123.0,        0.0000,        1.9830,        24.971
     124.0,        0.0000,        1.0303,        12.974
     125.0,        0.0000,        0.5444,         6.855
     126.0,        0.0000,        0.2984,         3.758
     127.0,        0.0000,        0.1709,         2.152
     128.0,        0.0000,        0.1022,         1.287
     129.0,        0.0000,        0.0637,         0.802
     130.0,        0.0000,        0.0412,         0.519
     131.0,        0.0000,        0.0276,         0.348
     132.0,        0.0000,        0.0191,         0.240
     133.0,        0.0000,        0.0135,         0.170
     134.0,        0.0000,        0.0099,         0.124
     135.0,        0.0000,        0.0073,         0.093
     136.0,        0.0000,        0.0056,         0.070
     137.0,        0.0000,        0.0043,         0.055
     138.0,        0.0000,        0.0034,         0.043
     139.0,        0.0000,        0.0028,         0.035
     140.0,        0.0000,        0.0022,         0.028
     141.0,        0.0000,        0.0018,         0.023
     142.0,        0.0000,        0.0015,         0.019
     143.0,        0.0000,        0.0013,         0.016
     144.0,        0.0000,        0.0011,         0.014
     145.0,        0.0000,        0.0009,         0.012
     146.0,        0.0000,        0.0008,         0.010
     147.0,        0.0000,        0.0007,         0.009
     148.0,        0.0000,        0.0006,         0.008
     149.0,        0.0000,        0.0005,         0.007
     150.0,        0.0000,        0.0005,         0.006
     151.0,        0.0000,        0.0004,         0.005
     152.0,        0.0000,        0.0004,         0.005
     153.0,        0.0000,        0.0003,         0.004
     154.0,        0.0000,        0.0003,         0.004
     155.0,        0.0000,        0.0003,         0.004
     156.0,        0.0000,        0.0003,         0.003
     157.0,        0.0000,        0.0002,         0.003
     158.0,        0.0000,        0.0002,         0.003
     159.0,        0.0000,        0.0002,         0.002
     160.0,        0.0000,        0.0002,         0.002
     161.0,        0.0000,        0.0002,         0.002
     162.0,        0.0000,        0.0001,         0.002
     163.0,        0.0000,        0.0001,         0.002
     164.0,        0.0000,        0.0001,         0.002
     165.0,        0.0000,        0.0001,         0.001
     166.0,        0.0000,        0.0001,         0.001
     167.0,        0.0000,        0.0001,         0.001
     168.0,        0.0000,        0.0001,         0.001
     169.0,        0.0000,        0.0001,         0.001
     170.0,        0.0000,        0.0001,         0.001
     171.0,        0.0000,        0.0001,         0.001
     172.0,        0.0000,        0.0001,         0.001
     173.0,        0.0000,        0.0001,         0.001
     174.0,        0.0000,        0.0001,         0.001
     175.0,        0.0000,        0.0001,         0.001
     176.0,        0.0000,        0.0001,         0.001
     177.0,        0.0000,        0.0001,         0.001
     178.0,        0.0000,        0.0001,         0.001
     179.0,        0.0000,        0.0000,         0.001
     180.0,        0.0000,        0.0000,         0.001
     181.0,        0.0000,        0.0000,         0.001
     182.0,        0.0000,        0.0000,         0.001
     183.0,        0.0000,        0.0000,         0.000
     184.0,        0.0000,        0.0000,         0.000
     185.0,        0.0000,        0.0000,         0.000
     186.0,        0.0000,        0.0000,         0.000
     187.0,        0.0000,        0.0000,         0.000
     188.0,        0.0000,        0.0000,         0.000
     189.0,        0.0000,        0.0000,         0.000
     190.0,        0.0000,        0.0000,         0.000
     191.0,        0.0000,        0.0000,         0.000
     192.0,        0.0000,        0.0000,         0.000
     193.0,        0.0000,        0.0000,         0.000
     194.0,        0.0000,        0.0000,         0.000
     195.0,        0.0000,        0.0000,         0.000
     196.0,        0.0000,        0.0000,         0.000
     197.0,        0.0000,        0.0000,         0.000
     198.0,        0.0000,        0.0000,         0.000
     199.0,        0.0000,        0.0000,         0.000
     200.0,        0.0000,        0.0000,         0.000
     201.0,        0.0000,        0.0000,         0.000
     202.0,        0.0000,        0.0000,         0.000
     203.0,        0.0000,        0.0000,         0.000
     204.0,        0.0000,        0.0000,         0.000
     205.0,        0.0000,        0.0000,         0.000
     206.0,        0.0000,        0.0000,         0.000
     207.0,        0.0000,        0.0000,         0.000
     208.0,        0.0000,        0.0000,         0.000
     209.0,        0.0000,        0.0000,         0.000
     210.0,        0.0000,        0.0000,         0.000
     211.0,        0.0000,        0.0000,         0.000
     212.0,        0.0000,        0.0000,         0.000
     213.0,        0.0000,        0.0000,         0.000
     214.0,        0.0000,        0.0000,         0.000
     215.0,        0.0000,        0.0000,         0.000
     216.0,        0.0000,        0.0000,         0.000
     217.0,        0.0000,        0.0000,         0.000
     218.0,        0.0000,        0.0000,         0.000
     219.0,        0.0000,        0.0000,         0.000
     220.0,        0.0000,        0.0000,         0.000
     221.0,        0.0000,        0.0000,         0.000
     222.0,        0.0000,        0.0000,         0.000
     223.0,        0.0000,        0.0000,         0.000
     224.0,        0.0000,        0.0000,         0.000
     225.0,        0.0000,        0.0000,         0.000
     226.0,        0.0000,        0.0000,         0.000
     227.0,        0.0000,        0.0000,         0.000
     228.0,        0.0000,        0.0000,         0.000
     229.0,        0.0000,        0.0000,         0.000
     230.0,        0.0000,        0.0000,         0.000
     231.0,        0.0000,        0.0000,         0.000
     232.0,        0.0000,        0.0000,         0.000
     233.0,        0.0000,        0.0000,         0.000
     234.0,        0.0000,        0.0000,         0.000
     235.0,        0.0000,        0.0000,         0.000
     236.0,        0.0000,        0.0000,         0.000
     237.0,        0.0000,        0.0000,         0.000
     238.0,        0.0000,        0.0000,         0.000
     239.0,        0.0000,        0.0000,         0.000
     240.0,        0.0000,        0.0000,         0.000
     241.0,        0.0000,        0.0000,         0.000
     242.0,        0.0000,        0.0000,         0.000
     243.0,        0.0000,        0.0000,         0.000
     244.0,        0.0000,        0.0000,         0.000
     245.0,        0.0000,        0.0000,         0.000
     246.0,        0.0000,        0.0000,         0.000
     247.0,        0.0000,        0.0000,         0.000
     248.0,        0.0000,        0.0000,         0.000
     249.0,        0.0000,        0.0000,         0.000
     250.0,        0.0000,        0.0000,         0.000
     251.0,        0.0000,        0.0000,         0.000
     252.0,        0.0000,        0.0000,         0.000
     253.0,        0.0000,        0.0000,         0.000
     254.0,        0.0000,        0.0000,         0.000
     255.0,        0.0000,        0.0000,         0.000
     256.0,        0.0000,        0.0000,         0.000
     257.0,        0.0000,        0.0000,         0.000
     258.0,        0.0000,        0.0000,         0.000
     259.0,        0.0000,        0.0000,         0.000
     260.0,        0.0000,        0.0000,         0.000
     261.0,        0.0000,        0.0000,         0.000
     262.0,        0.0000,        0.0000,         0.000
     263.0,        0.0000,        0.0000,         0.000
     264.0,        0.0000,        0.0000,         0.000
     265.0,        0.0000,        0.0000,         0.000
     266.0,        0.0000,        0.0000,         0.000
     267.0,        0.0000,        0.0000,         0.000
     268.0,        0.0000,        0.0000,         0.000
     269.0,        0.0000,        0.0000,         0.000
     270.0,        0.0000,        0.0000,         0.000
     271.0,        0.0000,        0.0000,         0.000
     272.0,        0.0000,        0.0000,         0.000
     273.0,        0.0000,        0.0000,         0.000
     274.0,        0.0000,        0.0000,         0.000
     275.0,        0.0000,        0.0000,         0.000
     276.0,        0.0000,        0.0000,         0.000
     277.0,        0.0000,        0.0000,         0.000
     278.0,        0.0000,        0.0000,         0.000
     279.0,        0.0000,        0.0000,         0.000
     280.0,        0.0000,        0.0000,         0.000
     281.0,        0.0000,        0.0000,         0.000
     282.0,        0.0000,        0.0000,         0.000
     283.0,        0.0000,        0.0000,         0.000
     284.0,        0.0000,        0.0000,         0.000
     285.0,        0.0000,        0.0000,         0.000
     286.0,        0.0000,        0.0000,         0.000
     287.0,        0.0000,        0.0000,         0.000
     288.0,        0.0000,        0.0000,         0.000
     289.0,        0.0000,        0.0000,         0.000
     290.0,        0.0000,        0.0000,         0.000
     291.0,        0.0000,        0.0000,         0.000
     292.0,        0.0000,        0.0000,         0.000
     293.0,        0.0000,        0.0000,         0.000
     294.0,        0.0000,        0.0000,         0.000
     295.0,        0.0000,        0.0000,         0.000
     296.0,        0.0000,        0.0000,         0.000
     297.0,        0.0000,        0.0000,         0.000
     298.0,        0.0000,        0.0000,         0.000
     299.0,        0.0000,        0.0000,         0.000
     300.0,        0.0000,        0.0000,         0.000
     301.0,        0.0000,        0.0000,         0.000
     302.0,        0.0000,        0.0000,         0.000
     303.0,        0.0000,        0.0000,         0.000
     304.0,        0.0000,        0.0000,         0.000
     305.0,        0.0000,        0.0000,         0.000
     306.0,        0.0000,        0.0000,         0.000
     307.0,        0.0000,        0.0000,         0.000
     308.0,        0.0000,        0.0000,         0.000
     309.0,        0.0000,        0.0000,         0.000
     310.0,        0.0000,        0.0000,         0.000
     311.0,        0.0000,        0.0000,         0.000
     312.0,        0.0000,        0.0000,         0.000
     313.0,        0.0000,        0.0000,         0.000
     314.0,        0.0000,        0.0000,         0.000
     315.0,        0.0000,        0.0000,         0.000
     316.0,        0.0000,        0.0000,         0.000
     317.0,        0.0000,        0.0000,         0.000
     318.0,        0.0000,        0.0000,         0.000
     319.0,        0.0000,        0.0000,         0.000
     320.0,        0.0000,        0.0000,         0.000
