Time,Rain(mm),Out(mm),Out(cms)
       0.0,       10.0800,        0.0000,     0.0000000
       1.0,       10.0800,        0.0707,     0.0002385
       2.0,       10.0800,        0.1782,     0.0006011
       3.0,       10.0800,        0.3060,     0.0010322
       4.0,       10.0800,        0.4491,     0.0015148
       5.0,       10.8000,        0.6044,     0.0020390
       6.0,       10.8000,        0.7816,     0.0026366
       7.0,       10.8000,        0.9648,     0.0032545
       8.0,       10.8000,        1.1451,     0.0038628
       9.0,       10.8000,        1.3099,     0.0044188
      10.0,       11.6400,        1.4468,     0.0048805
      11.0,       11.6400,        1.5654,     0.0052806
      12.0,       11.6400,        1.6497,     0.0055652
      13.0,       11.6400,        1.7063,     0.0057560
      14.0,       11.6400,        1.7436,     0.0058818
      15.0,       12.8400,        1.7690,     0.0059676
      16.0,       12.8400,        1.8120,     0.0061124
      17.0,       12.8400,        1.8497,     0.0062398
      18.0,       12.8400,        1.8834,     0.0063533
      19.0,       12.8400,        1.9132,     0.0064538
      20.0,       14.1600,        1.9392,     0.0065415
      21.0,       14.1600,        1.9890,     0.0067096
      22.0,       14.1600,        2.0342,     0.0068620
      23.0,       14.1600,        2.0745,     0.0069982
      24.0,       14.1600,        2.1099,     0.0071175
      25.0,       15.9600,        2.1403,     0.0072200
      26.0,       15.9600,        2.2044,     0.0074362
      27.0,       15.9600,        2.2626,     0.0076325
      28.0,       15.9600,        2.3147,     0.0078084
      29.0,       15.9600,        2.3607,     0.0079635
      30.0,       18.2400,        2.4005,     0.0080978
      31.0,       18.2400,        2.4849,     0.0083827
      32.0,       18.2400,        2.5625,     0.0086444
      33.0,       18.2400,        2.6326,     0.0088809
      34.0,       18.2400,        2.6949,     0.0090911
      35.0,       21.6000,        2.7494,     0.0092747
      36.0,       21.6000,        2.8762,     0.0097025
      37.0,       21.6000,        3.0010,     0.0101235
      38.0,       21.6000,        3.1271,     0.0105489
      39.0,       21.6000,        3.2602,     0.0109980
      40.0,       26.7600,        3.4073,     0.0114941
      41.0,       26.7600,        3.7247,     0.0125647
      42.0,       26.7600,        4.1259,     0.0139184
      43.0,       26.7600,        4.6352,     0.0156364
      44.0,       26.7600,        5.2751,     0.0177949
      45.0,       36.0000,        6.0616,     0.0204480
      46.0,       36.0000,        7.3718,     0.0248678
      47.0,       36.0000,        9.0541,     0.0305427
      48.0,       36.0000,       11.0453,     0.0372599
      49.0,       36.0000,       13.1969,     0.0445180
      50.0,       57.9600,       15.3167,     0.0516691
      51.0,       57.9600,       18.5385,     0.0625374
      52.0,       57.9600,       22.4988,     0.0758968
      53.0,       57.9601,       26.9879,     0.0910405
      54.0,       57.9600,       31.6251,     0.1066833
      55.0,      204.3600,       35.9125,     0.1211463
      56.0,      204.3600,       52.6523,     0.1776159
      57.0,      204.3601,       82.6121,     0.2786815
      58.0,      204.3600,      120.9152,     0.4078923
      59.0,      204.3600,      155.7597,     0.5254360
      60.0,      204.4800,      178.0035,     0.6004728
      61.0,      204.4800,      187.8852,     0.6338074
      62.0,      204.4802,      190.8793,     0.6439075
      63.0,      204.4800,      191.5045,     0.6460168
      64.0,      204.4800,      191.6712,     0.6465791
      65.0,       57.9601,      191.8146,     0.6470627
      66.0,       57.9599,      171.7851,     0.5794958
      67.0,       57.9601,      139.3558,     0.4700995
      68.0,       57.9599,      107.9001,     0.3639875
      69.0,       57.9601,       83.3922,     0.2813131
      70.0,       35.9999,       66.6652,     0.2248867
      71.0,       35.9999,       54.5103,     0.1838838
      72.0,       36.0002,       45.8462,     0.1546564
      73.0,       35.9999,       39.6520,     0.1337612
      74.0,       35.9999,       35.1285,     0.1185018
      75.0,       26.7600,       31.7684,     0.1071668
      76.0,       26.7600,       28.6796,     0.0967472
      77.0,       26.7602,       25.9583,     0.0875670
      78.0,       26.7600,       23.6397,     0.0797456
      79.0,       26.7600,       21.7271,     0.0732937
      80.0,       21.5998,       20.1936,     0.0681208
      81.0,       21.6003,       18.7071,     0.0631060
      82.0,       21.5998,       17.3526,     0.0585367
      83.0,       21.6003,       16.1470,     0.0544699
      84.0,       21.5998,       15.1033,     0.0509491
      85.0,       18.2399,       14.2273,     0.0479939
      86.0,       18.2399,       13.3501,     0.0450347
      87.0,       18.2404,       12.5402,     0.0423030
      88.0,       18.2399,       11.8068,     0.0398288
      89.0,       18.2399,       11.1557,     0.0376324
      90.0,       15.9600,       10.5916,     0.0357293
      91.0,       15.9600,       10.0170,     0.0337910
      92.0,       15.9596,        9.4836,     0.0319916
      93.0,       15.9600,        8.9979,     0.0303532
      94.0,       15.9600,        8.5629,     0.0288860
      95.0,       14.1598,        8.1803,     0.0275953
      96.0,       14.1603,        7.7801,     0.0262450
