Time,Rain(in),Out(in),Out(cfs)
       0.0,       0.39685,       0.00000,       0.00000
       1.0,       0.39685,       0.00429,       0.00842
       2.0,       0.39685,       0.01081,       0.02123
       3.0,       0.39685,       0.01854,       0.0364
       4.0,       0.39685,       0.02703,       0.05306
       5.0,       0.4252,       0.03563,       0.06996
       6.0,       0.4252,       0.04413,       0.08665
       7.0,       0.4252,       0.0509,       0.09993
       8.0,       0.4252,       0.0555,       0.10898
       9.0,       0.4252,       0.05821,       0.11428
      10.0,       0.45827,       0.05961,       0.11705
      11.0,       0.45827,       0.06119,       0.12014
      12.0,       0.45827,       0.06236,       0.12244
      13.0,       0.45827,       0.06329,       0.12427
      14.0,       0.45827,       0.06405,       0.12575
      15.0,       0.50551,       0.06464,       0.12692
      16.0,       0.50551,       0.06637,       0.13031
      17.0,       0.50551,       0.06787,       0.13326
      18.0,       0.50551,       0.06915,       0.13578
      19.0,       0.50551,       0.07022,       0.13786
      20.0,       0.55748,       0.07105,       0.1395
      21.0,       0.55748,       0.07311,       0.14354
      22.0,       0.55748,       0.07487,       0.147
      23.0,       0.55748,       0.07634,       0.14988
      24.0,       0.55748,       0.07753,       0.15222
      25.0,       0.62835,       0.07844,       0.15401
      26.0,       0.62835,       0.08113,       0.15928
      27.0,       0.62835,       0.08344,       0.16382
      28.0,       0.62835,       0.08539,       0.16766
      29.0,       0.62835,       0.08699,       0.17079
      30.0,       0.71811,       0.08821,       0.17319
      31.0,       0.71811,       0.09172,       0.18007
      32.0,       0.71811,       0.09472,       0.18596
      33.0,       0.71811,       0.09723,       0.19089
      34.0,       0.71811,       0.09925,       0.19487
      35.0,       0.85039,       0.10078,       0.19787
      36.0,       0.85039,       0.10585,       0.20782
      37.0,       0.85039,       0.11023,       0.21643
      38.0,       0.85039,       0.11392,       0.22367
      39.0,       0.85039,       0.11689,       0.2295
      40.0,       1.05354,       0.1191,       0.23383
      41.0,       1.05354,       0.12702,       0.24939
      42.0,       1.05354,       0.13391,       0.26292
      43.0,       1.05354,       0.13972,       0.27432
      44.0,       1.05354,       0.14437,       0.28344
      45.0,       1.41732,       0.14775,       0.29009
      46.0,       1.41733,       0.16236,       0.31877
      47.0,       1.41732,       0.17583,       0.34522
      48.0,       1.41732,       0.18833,       0.36976
      49.0,       1.41732,       0.1999,       0.39248
      50.0,       2.28189,       0.21065,       0.41357
      51.0,       2.28189,       0.25649,       0.50358
      52.0,       2.28189,       0.30962,       0.60789
      53.0,       2.28189,       0.37115,       0.7287
      54.0,       2.28189,       0.44052,       0.86491
      55.0,       8.04567,       0.51707,       1.0152
      56.0,       8.04567,       0.98594,       1.93577
      57.0,       8.04567,       1.73078,       3.39815
      58.0,       8.04567,       2.74343,       5.38636
      59.0,       8.04567,       3.90564,       7.6682
      60.0,       8.05039,       5.04001,       9.89539
      61.0,       8.05039,       5.97157,       11.72439
      62.0,       8.0504,       6.59909,       12.95643
      63.0,       8.05039,       6.93619,       13.61827
      64.0,       8.05039,       7.07685,       13.89445
      65.0,       2.28189,       7.12411,       13.98724
      66.0,       2.28189,       6.40089,       12.56729
      67.0,       2.28189,       5.40731,       10.61654
      68.0,       2.28189,       4.46189,       8.76032
      69.0,       2.28189,       3.68566,       7.2363
      70.0,       1.41732,       3.08528,       6.05755
      71.0,       1.41732,       2.55388,       5.0142
      72.0,       1.41733,       2.1197,       4.16176
      73.0,       1.41732,       1.77772,       3.49031
      74.0,       1.41732,       1.51579,       2.97605
      75.0,       1.05354,       1.31843,       2.58857
      76.0,       1.05354,       1.14613,       2.25027
      77.0,       1.05355,       1.00676,       1.97664
      78.0,       1.05354,       0.89527,       1.75774
      79.0,       1.05354,       0.80683,       1.58411
      80.0,       0.85039,       0.73662,       1.44626
      81.0,       0.85041,       0.66855,       1.31261
      82.0,       0.85039,       0.60893,       1.19554
      83.0,       0.85041,       0.55711,       1.09381
      84.0,       0.85039,       0.51281,       1.00683
      85.0,       0.71811,       0.47553,       0.93364
      86.0,       0.71811,       0.43751,       0.85899
      87.0,       0.71813,       0.4033,       0.79182
      88.0,       0.71811,       0.37286,       0.73207
