Time,Rain(in),Out(in),Out(cfs)
       0.0,       0.39685,       0.00000,       0.00000
       1.0,       0.39685,       0.00072,       0.02529
       2.0,       0.39685,       0.00183,       0.06399
       3.0,       0.39685,       0.0032,       0.11195
       4.0,       0.39685,       0.00492,       0.1717
       5.0,       0.4252,       0.00708,       0.24741
       6.0,       0.4252,       0.00989,       0.34527
       7.0,       0.4252,       0.01317,       0.46004
       8.0,       0.4252,       0.01691,       0.59046
       9.0,       0.4252,       0.02111,       0.73716
      10.0,       0.45827,       0.0258,       0.90098
      11.0,       0.45827,       0.03115,       1.0878
      12.0,       0.45827,       0.03683,       1.28637
      13.0,       0.45827,       0.04264,       1.48901
      14.0,       0.45827,       0.04829,       1.68638
      15.0,       0.50551,       0.05354,       1.86966
      16.0,       0.50551,       0.05854,       2.04447
      17.0,       0.50551,       0.06288,       2.19608
      18.0,       0.50551,       0.06654,       2.32363
      19.0,       0.50551,       0.06952,       2.42792
      20.0,       0.55748,       0.07191,       2.51137
      21.0,       0.55748,       0.07422,       2.59188
      22.0,       0.55748,       0.07619,       2.66064
      23.0,       0.55748,       0.07793,       2.72153
      24.0,       0.55748,       0.07951,       2.77679
      25.0,       0.62835,       0.08096,       2.82743
      26.0,       0.62835,       0.08287,       2.89425
      27.0,       0.62835,       0.08475,       2.95972
      28.0,       0.62835,       0.08661,       3.02463
      29.0,       0.62835,       0.08843,       3.08827
      30.0,       0.71811,       0.09018,       3.14943
      31.0,       0.71811,       0.09259,       3.23366
      32.0,       0.71811,       0.09499,       3.31732
      33.0,       0.71811,       0.09739,       3.40094
      34.0,       0.71811,       0.09974,       3.48326
      35.0,       0.85039,       0.10202,       3.56272
      36.0,       0.85039,       0.10533,       3.67834
      37.0,       0.85039,       0.10865,       3.79453
      38.0,       0.85039,       0.11202,       3.91219
      39.0,       0.85039,       0.11539,       4.02986
      40.0,       1.05354,       0.11872,       4.14615
      41.0,       1.05354,       0.12386,       4.32566
      42.0,       1.05354,       0.12929,       4.51526
      43.0,       1.05354,       0.1352,       4.72154
      44.0,       1.05354,       0.14175,       4.95045
      45.0,       1.41732,       0.14924,       5.21184
      46.0,       1.41732,       0.16169,       5.6465
      47.0,       1.41732,       0.17682,       6.17505
      48.0,       1.41732,       0.1956,       6.83109
      49.0,       1.41732,       0.21899,       7.64767
      50.0,       2.28189,       0.24789,       8.65721
      51.0,       2.28189,       0.29435,       10.27982
      52.0,       2.28189,       0.35468,       12.38651
      53.0,       2.28189,       0.43378,       15.14897
      54.0,       2.28189,       0.53503,       18.68489
      55.0,       8.04567,       0.65788,       22.97519
      56.0,       8.04567,       0.9626,       33.61699
      57.0,       8.04567,       1.50791,       52.66064
      58.0,       8.04567,       2.32673,       81.25648
      59.0,       8.04567,       3.33954,       116.62677
      60.0,       8.05039,       4.40919,       153.98245
      61.0,       8.05039,       5.39066,       188.25823
      62.0,       8.0504,       6.16807,       215.40801
      63.0,       8.05039,       6.69961,       233.97088
      64.0,       8.05039,       7.01593,       245.01784
      65.0,       2.28189,       7.1816,       250.80355
      66.0,       2.28188,       6.93867,       242.3197
      67.0,       2.28189,       6.34337,       221.52991
      68.0,       2.28188,       5.56115,       194.21218
      69.0,       2.28189,       4.72697,       165.08023
      70.0,       1.41732,       3.94756,       137.86091
      71.0,       1.41732,       3.25867,       113.80269
      72.0,       1.41733,       2.692,       94.01284
      73.0,       1.41732,       2.24476,       78.39398
      74.0,       1.41732,       1.89852,       66.3023
      75.0,       1.05354,       1.63274,       57.0203
      76.0,       1.05354,       1.41912,       49.56004
      77.0,       1.05355,       1.24728,       43.55892
      78.0,       1.05354,       1.10802,       38.69545
      79.0,       1.05354,       0.99413,       34.71813
      80.0,       0.85039,       0.90022,       31.43832
      81.0,       0.85041,       0.81816,       28.57275
      82.0,       0.85039,       0.74707,       26.08984
      83.0,       0.85041,       0.68531,       23.93332
      84.0,       0.85039,       0.63163,       22.05836
      85.0,       0.71811,       0.58494,       20.42781
      86.0,       0.71811,       0.54225,       18.93703
      87.0,       0.71813,       0.50421,       17.60857
      88.0,       0.71811,       0.47033,       16.42535
      89.0,       0.71811,       0.44013,       15.37071
      90.0,       0.62835,       0.41317,       14.42922
      91.0,       0.62835,       0.38789,       13.54639
      92.0,       0.62833,       0.36491,       12.74372
      93.0,       0.62835,       0.34397,       12.0125
      94.0,       0.62835,       0.32489,       11.34597
      95.0,       0.55747,       0.30749,       10.73841
      96.0,       0.55749,       0.29082,       10.15636
      97.0,       0.55747,       0.27545,       9.61957
      98.0,       0.55749,       0.26125,       9.12354
      99.0,       0.55747,       0.24813,       8.66548
     100.0,       0.50078,       0.23603,       8.24297
     101.0,       0.5008,       0.2243,       7.83318
     102.0,       0.50078,       0.21341,       7.45291
     103.0,       0.5008,       0.2033,       7.09966
     104.0,       0.50078,       0.19391,       6.77212
     105.0,       0.46298,       0.18523,       6.46876
     106.0,       0.463,       0.17683,       6.17544
     107.0,       0.46298,       0.16903,       5.90302
     108.0,       0.463,       0.16179,       5.65031
     109.0,       0.46298,       0.1551,       5.41667
     110.0,       0.42519,       0.14893,       5.20125
     111.0,       0.42519,       0.14291,       4.99074
     112.0,       0.42521,       0.13731,       4.79527
     113.0,       0.42519,       0.1321,       4.61333
     114.0,       0.42519,       0.12726,       4.44421
     115.0,       0.39686,       0.12276,       4.28702
     116.0,       0.39686,       0.11833,       4.13231
     117.0,       0.39684,       0.11417,       3.98724
     118.0,       0.39686,       0.11027,       3.85099
     119.0,       0.39686,       0.10662,       3.72337
     120.0,       0.00000,       0.1032,       3.60404
     121.0,       0.00000,       0.0967,       3.37693
     122.0,       0.00000,       0.09019,       3.14975
     123.0,       0.00000,       0.08356,       2.91809
     124.0,       0.00000,       0.07687,       2.68448
     125.0,       0.00000,       0.07025,       2.45342
     126.0,       0.00000,       0.06378,       2.22744
     127.0,       0.00000,       0.05751,       2.00856
     128.0,       0.00000,       0.05151,       1.799
     129.0,       0.00000,       0.04585,       1.6012
     130.0,       0.00000,       0.04058,       1.41718
     131.0,       0.00000,       0.03574,       1.24827
     132.0,       0.00000,       0.03136,       1.09507
     133.0,       0.00000,       0.02743,       0.9577
     134.0,       0.00000,       0.02393,       0.83565
     135.0,       0.00000,       0.02085,       0.72801
     136.0,       0.00000,       0.01815,       0.63365
     137.0,       0.00000,       0.01579,       0.55137
     138.0,       0.00000,       0.01374,       0.47989
     139.0,       0.00000,       0.01197,       0.41795
     140.0,       0.00000,       0.01043,       0.36438
     141.0,       0.00000,       0.00911,       0.31811
     142.0,       0.00000,       0.00796,       0.27817
     143.0,       0.00000,       0.00698,       0.24367
     144.0,       0.00000,       0.00613,       0.21394
     145.0,       0.00000,       0.00539,       0.18819
     146.0,       0.00000,       0.00475,       0.16594
     147.0,       0.00000,       0.0042,       0.14666
     148.0,       0.00000,       0.00372,       0.12992
     149.0,       0.00000,       0.0033,       0.11534
     150.0,       0.00000,       0.00294,       0.10266
     151.0,       0.00000,       0.00262,       0.09157
     152.0,       0.00000,       0.00234,       0.08186
     153.0,       0.00000,       0.0021,       0.07335
     154.0,       0.00000,       0.00189,       0.06586
     155.0,       0.00000,       0.0017,       0.05929
     156.0,       0.00000,       0.00153,       0.05347
     157.0,       0.00000,       0.00138,       0.04831
     158.0,       0.00000,       0.00125,       0.04372
     159.0,       0.00000,       0.00114,       0.03966
     160.0,       0.00000,       0.00103,       0.03606
     161.0,       0.00000,       0.00094,       0.03284
     162.0,       0.00000,       0.00086,       0.02995
     163.0,       0.00000,       0.00078,       0.02737
     164.0,       0.00000,       0.00072,       0.02504
     165.0,       0.00000,       0.00066,       0.02295
     166.0,       0.00000,       0.0006,       0.02108
     167.0,       0.00000,       0.00056,       0.01939
     168.0,       0.00000,       0.00051,       0.01787
     169.0,       0.00000,       0.00047,       0.01649
     170.0,       0.00000,       0.00044,       0.01522
     171.0,       0.00000,       0.0004,       0.01409
     172.0,       0.00000,       0.00037,       0.01303
     173.0,       0.00000,       0.00035,       0.01211
     174.0,       0.00000,       0.00032,       0.01123
     175.0,       0.00000,       0.0003,       0.01045
     176.0,       0.00000,       0.00028,       0.00971
     177.0,       0.00000,       0.00026,       0.00908
     178.0,       0.00000,       0.00024,       0.00848
     179.0,       0.00000,       0.00022,       0.00791
     180.0,       0.00000,       0.00021,       0.00738
     181.0,       0.00000,       0.0002,       0.00692
     182.0,       0.00000,       0.00019,       0.0065
     183.0,       0.00000,       0.00017,       0.00607
     184.0,       0.00000,       0.00017,       0.00572
     185.0,       0.00000,       0.00015,       0.00537
     186.0,       0.00000,       0.00015,       0.00505
     187.0,       0.00000,       0.00014,       0.00477
     188.0,       0.00000,       0.00013,       0.00448
     189.0,       0.00000,       0.00012,       0.00424
     190.0,       0.00000,       0.00011,       0.00399
     191.0,       0.00000,       0.00011,       0.00378
     192.0,       0.00000,       0.0001,       0.00357
     193.0,       0.00000,       0.0001,       0.00339
     194.0,       0.00000,       9E-05,       0.00321
     195.0,       0.00000,       9E-05,       0.00304
     196.0,       0.00000,       8E-05,       0.0029
     197.0,       0.00000,       8E-05,       0.00275
     198.0,       0.00000,       7E-05,       0.00261
     199.0,       0.00000,       7E-05,       0.00247
