NOTE 15301:  Began computing simulation run "PostDevelopment" at time 15Jun2023, 20:25:08.
NOTE 20364:  Found no parameter problems in meteorologic model "100yr2hr_FS".
NOTE 40049:  Found no parameter problems in basin model "LaTerraza - PostDevelopment".
NOTE 40679:  Parameters for kinematic wave plane 1 for subbasin "57".
     Alpha: 12.8565  m: 1.6667
NOTE 40679:  Parameters for kinematic wave plane 2 for subbasin "57".
     Alpha: 7.0711  m: 1.6667
NOTE 40680:  Parameters for kinematic wave channel 3 for subbasin "57".
     Alpha: 3.0646  m: 1.5697
NOTE 40681:  Kinematic wave volume check for subbasin "57".
     Inflow (cu m): 0  Precip excess (cu m): 122.2017
     Outflow (cu m): 123.4029  Storage (cu m): 0.0015
     Percent error: -0.9842
NOTE 40679:  Parameters for kinematic wave plane 1 for subbasin "1".
     Alpha: 20.3279  m: 1.6667
NOTE 40679:  Parameters for kinematic wave plane 2 for subbasin "1".
     Alpha: 11.1803  m: 1.6667
NOTE 40680:  Parameters for kinematic wave channel 3 for subbasin "1".
     Alpha: 2.0558  m: 1.5697
NOTE 40681:  Kinematic wave volume check for subbasin "1".
     Inflow (cu m): 123.4029  Precip excess (cu m): 110.5294
     Outflow (cu m): 235.6495  Storage (cu m): 0.0022
     Percent error: -0.735
NOTE 40679:  Parameters for kinematic wave plane 1 for subbasin "58".
     Alpha: 17.4867  m: 1.6667
NOTE 40679:  Parameters for kinematic wave plane 2 for subbasin "58".
     Alpha: 9.6177  m: 1.6667
NOTE 40680:  Parameters for kinematic wave channel 3 for subbasin "58".
     Alpha: 2.8255  m: 1.5697
NOTE 40681:  Kinematic wave volume check for subbasin "58".
     Inflow (cu m): 0  Precip excess (cu m): 86.5595
     Outflow (cu m): 87.2481  Storage (cu m): 0.001
     Percent error: -0.7966
NOTE 40679:  Parameters for kinematic wave plane 1 for subbasin "5".
     Alpha: 17.4867  m: 1.6667
NOTE 40679:  Parameters for kinematic wave plane 2 for subbasin "5".
     Alpha: 9.6177  m: 1.6667
NOTE 40680:  Parameters for kinematic wave channel 3 for subbasin "5".
     Alpha: 2.8255  m: 1.5697
NOTE 40681:  Kinematic wave volume check for subbasin "5".
     Inflow (cu m): 87.2481  Precip excess (cu m): 85.4638
     Outflow (cu m): 173.9551  Storage (cu m): 0.0012
     Percent error: -0.7205
NOTE 40679:  Parameters for kinematic wave plane 1 for subbasin "4".
     Alpha: 17.4867  m: 1.6667
NOTE 40679:  Parameters for kinematic wave plane 2 for subbasin "4".
     Alpha: 9.6177  m: 1.6667
NOTE 40680:  Parameters for kinematic wave channel 3 for subbasin "4".
     Alpha: 2.8255  m: 1.5697
NOTE 40681:  Kinematic wave volume check for subbasin "4".
     Inflow (cu m): 0  Precip excess (cu m): 86.9347
     Outflow (cu m): 87.6815  Storage (cu m): 0.0018
     Percent error: -0.8611
NOTE 40679:  Parameters for kinematic wave plane 1 for subbasin "3".
     Alpha: 17.4867  m: 1.6667
NOTE 40679:  Parameters for kinematic wave plane 2 for subbasin "3".
     Alpha: 9.6177  m: 1.6667
NOTE 40680:  Parameters for kinematic wave channel 3 for subbasin "3".
